Rank,date,fullName,nationality
1,2017-04-17,Shakib Al Hasan,BAN
2,2017-04-17,Mohammad Hafeez,PAK
3,2017-04-17,Mohammad Nabi,AFG
4,2017-04-17,James Faulkner,AUS
5,2017-04-17,Angelo Mathews,SL
6,2017-04-17,Mitchell Marsh,AUS
7,2017-04-17,Jason Holder,WI
8,2017-04-17,Ben Stokes,ENG
9,2017-04-17,Chris Woakes,ENG
10,2017-04-17,Ravindra Jadeja,IND
11,2017-04-17,Kevin O'Brien,IRE
12,2017-04-17,Paul Stirling,IRE
13,2017-04-17,Moeen Ali,ENG
14,2017-04-17,Mitchell Santner,NZ
15,2017-04-17,Glenn Maxwell,AUS
16,2017-04-17,Sean Williams,ZIM
17,2017-04-17,Imad Wasim,PAK
18,2017-04-17,Kane Williamson,NZ
19,2017-04-17,Mohammad Nasir Hossain,BAN
20,2017-04-17,Mitchell Starc,AUS
1,2017-04-18,Shakib Al Hasan,BAN
2,2017-04-18,Mohammad Hafeez,PAK
3,2017-04-18,Mohammad Nabi,AFG
4,2017-04-18,James Faulkner,AUS
5,2017-04-18,Angelo Mathews,SL
6,2017-04-18,Mitchell Marsh,AUS
7,2017-04-18,Jason Holder,WI
8,2017-04-18,Ben Stokes,ENG
9,2017-04-18,Chris Woakes,ENG
10,2017-04-18,Ravindra Jadeja,IND
11,2017-04-18,Kevin O'Brien,IRE
12,2017-04-18,Paul Stirling,IRE
13,2017-04-18,Moeen Ali,ENG
14,2017-04-18,Mitchell Santner,NZ
15,2017-04-18,Glenn Maxwell,AUS
16,2017-04-18,Sean Williams,ZIM
17,2017-04-18,Imad Wasim,PAK
18,2017-04-18,Kane Williamson,NZ
19,2017-04-18,Mohammad Nasir Hossain,BAN
20,2017-04-18,Mitchell Starc,AUS
1,2017-04-19,Shakib Al Hasan,BAN
2,2017-04-19,Mohammad Hafeez,PAK
3,2017-04-19,Mohammad Nabi,AFG
4,2017-04-19,James Faulkner,AUS
5,2017-04-19,Angelo Mathews,SL
6,2017-04-19,Mitchell Marsh,AUS
7,2017-04-19,Jason Holder,WI
8,2017-04-19,Ben Stokes,ENG
9,2017-04-19,Chris Woakes,ENG
10,2017-04-19,Ravindra Jadeja,IND
11,2017-04-19,Kevin O'Brien,IRE
12,2017-04-19,Paul Stirling,IRE
13,2017-04-19,Moeen Ali,ENG
14,2017-04-19,Mitchell Santner,NZ
15,2017-04-19,Glenn Maxwell,AUS
16,2017-04-19,Sean Williams,ZIM
17,2017-04-19,Imad Wasim,PAK
18,2017-04-19,Kane Williamson,NZ
19,2017-04-19,Mohammad Nasir Hossain,BAN
20,2017-04-19,Mitchell Starc,AUS
1,2017-04-20,Shakib Al Hasan,BAN
2,2017-04-20,Mohammad Hafeez,PAK
3,2017-04-20,Mohammad Nabi,AFG
4,2017-04-20,James Faulkner,AUS
5,2017-04-20,Angelo Mathews,SL
6,2017-04-20,Mitchell Marsh,AUS
7,2017-04-20,Jason Holder,WI
8,2017-04-20,Ben Stokes,ENG
9,2017-04-20,Chris Woakes,ENG
10,2017-04-20,Ravindra Jadeja,IND
11,2017-04-20,Kevin O'Brien,IRE
12,2017-04-20,Paul Stirling,IRE
13,2017-04-20,Moeen Ali,ENG
14,2017-04-20,Mitchell Santner,NZ
15,2017-04-20,Glenn Maxwell,AUS
16,2017-04-20,Sean Williams,ZIM
17,2017-04-20,Imad Wasim,PAK
18,2017-04-20,Kane Williamson,NZ
19,2017-04-20,Mohammad Nasir Hossain,BAN
20,2017-04-20,Mitchell Starc,AUS
1,2017-04-21,Shakib Al Hasan,BAN
2,2017-04-21,Mohammad Hafeez,PAK
3,2017-04-21,Mohammad Nabi,AFG
4,2017-04-21,James Faulkner,AUS
5,2017-04-21,Angelo Mathews,SL
6,2017-04-21,Mitchell Marsh,AUS
7,2017-04-21,Jason Holder,WI
8,2017-04-21,Ben Stokes,ENG
9,2017-04-21,Chris Woakes,ENG
10,2017-04-21,Ravindra Jadeja,IND
11,2017-04-21,Kevin O'Brien,IRE
12,2017-04-21,Paul Stirling,IRE
13,2017-04-21,Moeen Ali,ENG
14,2017-04-21,Mitchell Santner,NZ
15,2017-04-21,Glenn Maxwell,AUS
16,2017-04-21,Sean Williams,ZIM
17,2017-04-21,Imad Wasim,PAK
18,2017-04-21,Kane Williamson,NZ
19,2017-04-21,Mohammad Nasir Hossain,BAN
20,2017-04-21,Mitchell Starc,AUS
1,2017-04-22,Shakib Al Hasan,BAN
2,2017-04-22,Mohammad Hafeez,PAK
3,2017-04-22,Mohammad Nabi,AFG
4,2017-04-22,James Faulkner,AUS
5,2017-04-22,Angelo Mathews,SL
6,2017-04-22,Mitchell Marsh,AUS
7,2017-04-22,Jason Holder,WI
8,2017-04-22,Ben Stokes,ENG
9,2017-04-22,Chris Woakes,ENG
10,2017-04-22,Ravindra Jadeja,IND
11,2017-04-22,Kevin O'Brien,IRE
12,2017-04-22,Paul Stirling,IRE
13,2017-04-22,Moeen Ali,ENG
14,2017-04-22,Mitchell Santner,NZ
15,2017-04-22,Glenn Maxwell,AUS
16,2017-04-22,Sean Williams,ZIM
17,2017-04-22,Imad Wasim,PAK
18,2017-04-22,Kane Williamson,NZ
19,2017-04-22,Mohammad Nasir Hossain,BAN
20,2017-04-22,Mitchell Starc,AUS
1,2017-04-23,Shakib Al Hasan,BAN
2,2017-04-23,Mohammad Hafeez,PAK
3,2017-04-23,Mohammad Nabi,AFG
4,2017-04-23,James Faulkner,AUS
5,2017-04-23,Angelo Mathews,SL
6,2017-04-23,Mitchell Marsh,AUS
7,2017-04-23,Jason Holder,WI
8,2017-04-23,Ben Stokes,ENG
9,2017-04-23,Chris Woakes,ENG
10,2017-04-23,Ravindra Jadeja,IND
11,2017-04-23,Kevin O'Brien,IRE
12,2017-04-23,Paul Stirling,IRE
13,2017-04-23,Moeen Ali,ENG
14,2017-04-23,Mitchell Santner,NZ
15,2017-04-23,Glenn Maxwell,AUS
16,2017-04-23,Sean Williams,ZIM
17,2017-04-23,Imad Wasim,PAK
18,2017-04-23,Kane Williamson,NZ
19,2017-04-23,Mohammad Nasir Hossain,BAN
20,2017-04-23,Mitchell Starc,AUS
1,2017-04-24,Shakib Al Hasan,BAN
2,2017-04-24,Mohammad Hafeez,PAK
3,2017-04-24,Mohammad Nabi,AFG
4,2017-04-24,James Faulkner,AUS
5,2017-04-24,Angelo Mathews,SL
6,2017-04-24,Mitchell Marsh,AUS
7,2017-04-24,Jason Holder,WI
8,2017-04-24,Ben Stokes,ENG
9,2017-04-24,Chris Woakes,ENG
10,2017-04-24,Ravindra Jadeja,IND
11,2017-04-24,Kevin O'Brien,IRE
12,2017-04-24,Paul Stirling,IRE
13,2017-04-24,Moeen Ali,ENG
14,2017-04-24,Mitchell Santner,NZ
15,2017-04-24,Glenn Maxwell,AUS
16,2017-04-24,Sean Williams,ZIM
17,2017-04-24,Imad Wasim,PAK
18,2017-04-24,Kane Williamson,NZ
19,2017-04-24,Mohammad Nasir Hossain,BAN
20,2017-04-24,Mitchell Starc,AUS
1,2017-04-25,Shakib Al Hasan,BAN
2,2017-04-25,Mohammad Hafeez,PAK
3,2017-04-25,Mohammad Nabi,AFG
4,2017-04-25,James Faulkner,AUS
5,2017-04-25,Angelo Mathews,SL
6,2017-04-25,Mitchell Marsh,AUS
7,2017-04-25,Jason Holder,WI
8,2017-04-25,Ben Stokes,ENG
9,2017-04-25,Chris Woakes,ENG
10,2017-04-25,Ravindra Jadeja,IND
11,2017-04-25,Kevin O'Brien,IRE
12,2017-04-25,Paul Stirling,IRE
13,2017-04-25,Moeen Ali,ENG
14,2017-04-25,Mitchell Santner,NZ
15,2017-04-25,Glenn Maxwell,AUS
16,2017-04-25,Sean Williams,ZIM
17,2017-04-25,Imad Wasim,PAK
18,2017-04-25,Kane Williamson,NZ
19,2017-04-25,Mohammad Nasir Hossain,BAN
20,2017-04-25,Mitchell Starc,AUS
1,2017-04-26,Shakib Al Hasan,BAN
2,2017-04-26,Mohammad Hafeez,PAK
3,2017-04-26,Mohammad Nabi,AFG
4,2017-04-26,James Faulkner,AUS
5,2017-04-26,Angelo Mathews,SL
6,2017-04-26,Mitchell Marsh,AUS
7,2017-04-26,Jason Holder,WI
8,2017-04-26,Ben Stokes,ENG
9,2017-04-26,Chris Woakes,ENG
10,2017-04-26,Ravindra Jadeja,IND
11,2017-04-26,Kevin O'Brien,IRE
12,2017-04-26,Paul Stirling,IRE
13,2017-04-26,Moeen Ali,ENG
14,2017-04-26,Mitchell Santner,NZ
15,2017-04-26,Glenn Maxwell,AUS
16,2017-04-26,Sean Williams,ZIM
17,2017-04-26,Imad Wasim,PAK
18,2017-04-26,Kane Williamson,NZ
19,2017-04-26,Mohammad Nasir Hossain,BAN
20,2017-04-26,Mitchell Starc,AUS
1,2017-04-27,Shakib Al Hasan,BAN
2,2017-04-27,Mohammad Hafeez,PAK
3,2017-04-27,Mohammad Nabi,AFG
4,2017-04-27,James Faulkner,AUS
5,2017-04-27,Angelo Mathews,SL
6,2017-04-27,Mitchell Marsh,AUS
7,2017-04-27,Jason Holder,WI
8,2017-04-27,Ben Stokes,ENG
9,2017-04-27,Chris Woakes,ENG
10,2017-04-27,Ravindra Jadeja,IND
11,2017-04-27,Kevin O'Brien,IRE
12,2017-04-27,Paul Stirling,IRE
13,2017-04-27,Moeen Ali,ENG
14,2017-04-27,Mitchell Santner,NZ
15,2017-04-27,Glenn Maxwell,AUS
16,2017-04-27,Sean Williams,ZIM
17,2017-04-27,Imad Wasim,PAK
18,2017-04-27,Kane Williamson,NZ
19,2017-04-27,Mohammad Nasir Hossain,BAN
20,2017-04-27,Mitchell Starc,AUS
1,2017-04-28,Shakib Al Hasan,BAN
2,2017-04-28,Mohammad Hafeez,PAK
3,2017-04-28,Mohammad Nabi,AFG
4,2017-04-28,James Faulkner,AUS
5,2017-04-28,Angelo Mathews,SL
6,2017-04-28,Mitchell Marsh,AUS
7,2017-04-28,Jason Holder,WI
8,2017-04-28,Ben Stokes,ENG
9,2017-04-28,Chris Woakes,ENG
10,2017-04-28,Ravindra Jadeja,IND
11,2017-04-28,Kevin O'Brien,IRE
12,2017-04-28,Paul Stirling,IRE
13,2017-04-28,Moeen Ali,ENG
14,2017-04-28,Mitchell Santner,NZ
15,2017-04-28,Glenn Maxwell,AUS
16,2017-04-28,Sean Williams,ZIM
17,2017-04-28,Imad Wasim,PAK
18,2017-04-28,Kane Williamson,NZ
19,2017-04-28,Mohammad Nasir Hossain,BAN
20,2017-04-28,Mitchell Starc,AUS
1,2017-04-29,Shakib Al Hasan,BAN
2,2017-04-29,Mohammad Hafeez,PAK
3,2017-04-29,Mohammad Nabi,AFG
4,2017-04-29,James Faulkner,AUS
5,2017-04-29,Angelo Mathews,SL
6,2017-04-29,Mitchell Marsh,AUS
7,2017-04-29,Jason Holder,WI
8,2017-04-29,Ben Stokes,ENG
9,2017-04-29,Chris Woakes,ENG
10,2017-04-29,Ravindra Jadeja,IND
11,2017-04-29,Kevin O'Brien,IRE
12,2017-04-29,Paul Stirling,IRE
13,2017-04-29,Moeen Ali,ENG
14,2017-04-29,Mitchell Santner,NZ
15,2017-04-29,Glenn Maxwell,AUS
16,2017-04-29,Sean Williams,ZIM
17,2017-04-29,Imad Wasim,PAK
18,2017-04-29,Kane Williamson,NZ
19,2017-04-29,Mohammad Nasir Hossain,BAN
20,2017-04-29,Mitchell Starc,AUS
1,2017-04-30,Shakib Al Hasan,BAN
2,2017-04-30,Mohammad Hafeez,PAK
3,2017-04-30,Mohammad Nabi,AFG
4,2017-04-30,James Faulkner,AUS
5,2017-04-30,Angelo Mathews,SL
6,2017-04-30,Mitchell Marsh,AUS
7,2017-04-30,Jason Holder,WI
8,2017-04-30,Ben Stokes,ENG
9,2017-04-30,Chris Woakes,ENG
10,2017-04-30,Ravindra Jadeja,IND
11,2017-04-30,Kevin O'Brien,IRE
12,2017-04-30,Paul Stirling,IRE
13,2017-04-30,Moeen Ali,ENG
14,2017-04-30,Mitchell Santner,NZ
15,2017-04-30,Glenn Maxwell,AUS
16,2017-04-30,Sean Williams,ZIM
17,2017-04-30,Imad Wasim,PAK
18,2017-04-30,Kane Williamson,NZ
19,2017-04-30,Mohammad Nasir Hossain,BAN
20,2017-04-30,Mitchell Starc,AUS
1,2017-05-01,Shakib Al Hasan,BAN
2,2017-05-01,Mohammad Hafeez,PAK
3,2017-05-01,Mohammad Nabi,AFG
4,2017-05-01,James Faulkner,AUS
5,2017-05-01,Angelo Mathews,SL
6,2017-05-01,Mitchell Marsh,AUS
7,2017-05-01,Jason Holder,WI
8,2017-05-01,Ben Stokes,ENG
9,2017-05-01,Chris Woakes,ENG
10,2017-05-01,Ravindra Jadeja,IND
11,2017-05-01,Kevin O'Brien,IRE
12,2017-05-01,Paul Stirling,IRE
13,2017-05-01,Moeen Ali,ENG
14,2017-05-01,Mitchell Santner,NZ
15,2017-05-01,Glenn Maxwell,AUS
16,2017-05-01,Sean Williams,ZIM
17,2017-05-01,Imad Wasim,PAK
18,2017-05-01,Kane Williamson,NZ
19,2017-05-01,Mohammad Nasir Hossain,BAN
20,2017-05-01,Mitchell Starc,AUS
1,2017-05-02,Shakib Al Hasan,BAN
2,2017-05-02,Mohammad Hafeez,PAK
3,2017-05-02,Mohammad Nabi,AFG
4,2017-05-02,James Faulkner,AUS
5,2017-05-02,Angelo Mathews,SL
6,2017-05-02,Mitchell Marsh,AUS
7,2017-05-02,Jason Holder,WI
8,2017-05-02,Ben Stokes,ENG
9,2017-05-02,Chris Woakes,ENG
10,2017-05-02,Ravindra Jadeja,IND
11,2017-05-02,Kevin O'Brien,IRE
12,2017-05-02,Paul Stirling,IRE
13,2017-05-02,Moeen Ali,ENG
14,2017-05-02,Mitchell Santner,NZ
15,2017-05-02,Glenn Maxwell,AUS
16,2017-05-02,Sean Williams,ZIM
17,2017-05-02,Imad Wasim,PAK
18,2017-05-02,Kane Williamson,NZ
19,2017-05-02,Mohammad Nasir Hossain,BAN
20,2017-05-02,Mitchell Starc,AUS
1,2017-05-03,Shakib Al Hasan,BAN
2,2017-05-03,Mohammad Hafeez,PAK
3,2017-05-03,Mohammad Nabi,AFG
4,2017-05-03,James Faulkner,AUS
5,2017-05-03,Angelo Mathews,SL
6,2017-05-03,Mitchell Marsh,AUS
7,2017-05-03,Jason Holder,WI
8,2017-05-03,Ben Stokes,ENG
9,2017-05-03,Chris Woakes,ENG
10,2017-05-03,Ravindra Jadeja,IND
11,2017-05-03,Kevin O'Brien,IRE
12,2017-05-03,Paul Stirling,IRE
13,2017-05-03,Moeen Ali,ENG
14,2017-05-03,Mitchell Santner,NZ
15,2017-05-03,Glenn Maxwell,AUS
16,2017-05-03,Sean Williams,ZIM
17,2017-05-03,Imad Wasim,PAK
18,2017-05-03,Kane Williamson,NZ
19,2017-05-03,Mohammad Nasir Hossain,BAN
20,2017-05-03,Mitchell Starc,AUS
1,2017-05-04,Shakib Al Hasan,BAN
2,2017-05-04,Mohammad Hafeez,PAK
3,2017-05-04,Mohammad Nabi,AFG
4,2017-05-04,James Faulkner,AUS
5,2017-05-04,Angelo Mathews,SL
6,2017-05-04,Mitchell Marsh,AUS
7,2017-05-04,Jason Holder,WI
8,2017-05-04,Ben Stokes,ENG
9,2017-05-04,Chris Woakes,ENG
10,2017-05-04,Ravindra Jadeja,IND
11,2017-05-04,Kevin O'Brien,IRE
12,2017-05-04,Paul Stirling,IRE
13,2017-05-04,Moeen Ali,ENG
14,2017-05-04,Mitchell Santner,NZ
15,2017-05-04,Glenn Maxwell,AUS
16,2017-05-04,Sean Williams,ZIM
17,2017-05-04,Imad Wasim,PAK
18,2017-05-04,Kane Williamson,NZ
19,2017-05-04,Mohammad Nasir Hossain,BAN
20,2017-05-04,Mitchell Starc,AUS
1,2017-05-05,Shakib Al Hasan,BAN
2,2017-05-05,Mohammad Hafeez,PAK
3,2017-05-05,Mohammad Nabi,AFG
4,2017-05-05,James Faulkner,AUS
5,2017-05-05,Angelo Mathews,SL
6,2017-05-05,Mitchell Marsh,AUS
7,2017-05-05,Jason Holder,WI
8,2017-05-05,Ben Stokes,ENG
9,2017-05-05,Chris Woakes,ENG
10,2017-05-05,Ravindra Jadeja,IND
11,2017-05-05,Kevin O'Brien,IRE
12,2017-05-05,Paul Stirling,IRE
13,2017-05-05,Moeen Ali,ENG
14,2017-05-05,Mitchell Santner,NZ
15,2017-05-05,Glenn Maxwell,AUS
16,2017-05-05,Sean Williams,ZIM
17,2017-05-05,Imad Wasim,PAK
18,2017-05-05,Kane Williamson,NZ
19,2017-05-05,Mohammad Nasir Hossain,BAN
20,2017-05-05,Mitchell Starc,AUS
1,2017-05-06,Shakib Al Hasan,BAN
2,2017-05-06,Mohammad Hafeez,PAK
3,2017-05-06,Mohammad Nabi,AFG
4,2017-05-06,James Faulkner,AUS
5,2017-05-06,Angelo Mathews,SL
6,2017-05-06,Mitchell Marsh,AUS
7,2017-05-06,Jason Holder,WI
8,2017-05-06,Ben Stokes,ENG
9,2017-05-06,Chris Woakes,ENG
10,2017-05-06,Ravindra Jadeja,IND
11,2017-05-06,Kevin O'Brien,IRE
12,2017-05-06,Paul Stirling,IRE
13,2017-05-06,Moeen Ali,ENG
14,2017-05-06,Mitchell Santner,NZ
15,2017-05-06,Glenn Maxwell,AUS
16,2017-05-06,Sean Williams,ZIM
17,2017-05-06,Imad Wasim,PAK
18,2017-05-06,Kane Williamson,NZ
19,2017-05-06,Mohammad Nasir Hossain,BAN
20,2017-05-06,Mitchell Starc,AUS
1,2017-05-07,Shakib Al Hasan,BAN
2,2017-05-07,Mohammad Hafeez,PAK
3,2017-05-07,Mohammad Nabi,AFG
4,2017-05-07,James Faulkner,AUS
5,2017-05-07,Angelo Mathews,SL
6,2017-05-07,Mitchell Marsh,AUS
7,2017-05-07,Jason Holder,WI
8,2017-05-07,Ben Stokes,ENG
9,2017-05-07,Chris Woakes,ENG
10,2017-05-07,Ravindra Jadeja,IND
11,2017-05-07,Kevin O'Brien,IRE
12,2017-05-07,Paul Stirling,IRE
13,2017-05-07,Moeen Ali,ENG
14,2017-05-07,Mitchell Santner,NZ
15,2017-05-07,Glenn Maxwell,AUS
16,2017-05-07,Sean Williams,ZIM
17,2017-05-07,Imad Wasim,PAK
18,2017-05-07,Kane Williamson,NZ
19,2017-05-07,Mohammad Nasir Hossain,BAN
20,2017-05-07,Mitchell Starc,AUS
1,2017-05-08,Shakib Al Hasan,BAN
2,2017-05-08,Mohammad Hafeez,PAK
3,2017-05-08,Mohammad Nabi,AFG
4,2017-05-08,James Faulkner,AUS
5,2017-05-08,Angelo Mathews,SL
6,2017-05-08,Mitchell Marsh,AUS
7,2017-05-08,Jason Holder,WI
8,2017-05-08,Ben Stokes,ENG
9,2017-05-08,Chris Woakes,ENG
10,2017-05-08,Ravindra Jadeja,IND
11,2017-05-08,Kevin O'Brien,IRE
12,2017-05-08,Paul Stirling,IRE
13,2017-05-08,Moeen Ali,ENG
14,2017-05-08,Mitchell Santner,NZ
15,2017-05-08,Glenn Maxwell,AUS
16,2017-05-08,Sean Williams,ZIM
17,2017-05-08,Imad Wasim,PAK
18,2017-05-08,Kane Williamson,NZ
19,2017-05-08,Mohammad Nasir Hossain,BAN
20,2017-05-08,Mitchell Starc,AUS
1,2017-05-09,Shakib Al Hasan,BAN
2,2017-05-09,Mohammad Hafeez,PAK
3,2017-05-09,Mohammad Nabi,AFG
4,2017-05-09,James Faulkner,AUS
5,2017-05-09,Angelo Mathews,SL
6,2017-05-09,Mitchell Marsh,AUS
7,2017-05-09,Jason Holder,WI
8,2017-05-09,Ben Stokes,ENG
9,2017-05-09,Chris Woakes,ENG
10,2017-05-09,Ravindra Jadeja,IND
11,2017-05-09,Kevin O'Brien,IRE
12,2017-05-09,Paul Stirling,IRE
13,2017-05-09,Moeen Ali,ENG
14,2017-05-09,Mitchell Santner,NZ
15,2017-05-09,Glenn Maxwell,AUS
16,2017-05-09,Sean Williams,ZIM
17,2017-05-09,Imad Wasim,PAK
18,2017-05-09,Kane Williamson,NZ
19,2017-05-09,Mohammad Nasir Hossain,BAN
20,2017-05-09,Mitchell Starc,AUS
1,2017-05-10,Shakib Al Hasan,BAN
2,2017-05-10,Mohammad Hafeez,PAK
3,2017-05-10,Mohammad Nabi,AFG
4,2017-05-10,James Faulkner,AUS
5,2017-05-10,Angelo Mathews,SL
6,2017-05-10,Mitchell Marsh,AUS
7,2017-05-10,Jason Holder,WI
8,2017-05-10,Ben Stokes,ENG
9,2017-05-10,Chris Woakes,ENG
10,2017-05-10,Ravindra Jadeja,IND
11,2017-05-10,Kevin O'Brien,IRE
12,2017-05-10,Paul Stirling,IRE
13,2017-05-10,Moeen Ali,ENG
14,2017-05-10,Mitchell Santner,NZ
15,2017-05-10,Glenn Maxwell,AUS
16,2017-05-10,Sean Williams,ZIM
17,2017-05-10,Imad Wasim,PAK
18,2017-05-10,Kane Williamson,NZ
19,2017-05-10,Mohammad Nasir Hossain,BAN
20,2017-05-10,Mitchell Starc,AUS
1,2017-05-11,Shakib Al Hasan,BAN
2,2017-05-11,Mohammad Hafeez,PAK
3,2017-05-11,Mohammad Nabi,AFG
4,2017-05-11,James Faulkner,AUS
5,2017-05-11,Angelo Mathews,SL
6,2017-05-11,Mitchell Marsh,AUS
7,2017-05-11,Jason Holder,WI
8,2017-05-11,Ben Stokes,ENG
9,2017-05-11,Chris Woakes,ENG
10,2017-05-11,Ravindra Jadeja,IND
11,2017-05-11,Kevin O'Brien,IRE
12,2017-05-11,Paul Stirling,IRE
13,2017-05-11,Moeen Ali,ENG
14,2017-05-11,Mitchell Santner,NZ
15,2017-05-11,Glenn Maxwell,AUS
16,2017-05-11,Sean Williams,ZIM
17,2017-05-11,Imad Wasim,PAK
18,2017-05-11,Kane Williamson,NZ
19,2017-05-11,Mohammad Nasir Hossain,BAN
20,2017-05-11,Mitchell Starc,AUS
1,2017-05-12,Shakib Al Hasan,BAN
2,2017-05-12,Mohammad Hafeez,PAK
3,2017-05-12,Mohammad Nabi,AFG
4,2017-05-12,James Faulkner,AUS
5,2017-05-12,Angelo Mathews,SL
6,2017-05-12,Mitchell Marsh,AUS
7,2017-05-12,Jason Holder,WI
8,2017-05-12,Ben Stokes,ENG
9,2017-05-12,Chris Woakes,ENG
10,2017-05-12,Ravindra Jadeja,IND
11,2017-05-12,Kevin O'Brien,IRE
12,2017-05-12,Paul Stirling,IRE
13,2017-05-12,Moeen Ali,ENG
14,2017-05-12,Mitchell Santner,NZ
15,2017-05-12,Glenn Maxwell,AUS
16,2017-05-12,Sean Williams,ZIM
17,2017-05-12,Imad Wasim,PAK
18,2017-05-12,Kane Williamson,NZ
19,2017-05-12,Mohammad Nasir Hossain,BAN
20,2017-05-12,Mitchell Starc,AUS
1,2017-05-13,Shakib Al Hasan,BAN
2,2017-05-13,Mohammad Hafeez,PAK
3,2017-05-13,Mohammad Nabi,AFG
4,2017-05-13,James Faulkner,AUS
5,2017-05-13,Angelo Mathews,SL
6,2017-05-13,Mitchell Marsh,AUS
7,2017-05-13,Jason Holder,WI
8,2017-05-13,Ben Stokes,ENG
9,2017-05-13,Chris Woakes,ENG
10,2017-05-13,Ravindra Jadeja,IND
11,2017-05-13,Kevin O'Brien,IRE
12,2017-05-13,Paul Stirling,IRE
13,2017-05-13,Moeen Ali,ENG
14,2017-05-13,Mitchell Santner,NZ
15,2017-05-13,Glenn Maxwell,AUS
16,2017-05-13,Sean Williams,ZIM
17,2017-05-13,Imad Wasim,PAK
18,2017-05-13,Kane Williamson,NZ
19,2017-05-13,Mohammad Nasir Hossain,BAN
20,2017-05-13,Mitchell Starc,AUS
1,2017-05-14,Shakib Al Hasan,BAN
2,2017-05-14,Mohammad Hafeez,PAK
3,2017-05-14,Mohammad Nabi,AFG
4,2017-05-14,James Faulkner,AUS
5,2017-05-14,Angelo Mathews,SL
6,2017-05-14,Mitchell Marsh,AUS
7,2017-05-14,Jason Holder,WI
8,2017-05-14,Ben Stokes,ENG
9,2017-05-14,Chris Woakes,ENG
10,2017-05-14,Ravindra Jadeja,IND
11,2017-05-14,Kevin O'Brien,IRE
12,2017-05-14,Mitchell Santner,NZ
13,2017-05-14,Moeen Ali,ENG
14,2017-05-14,Paul Stirling,IRE
15,2017-05-14,Glenn Maxwell,AUS
16,2017-05-14,Sean Williams,ZIM
17,2017-05-14,Imad Wasim,PAK
18,2017-05-14,Kane Williamson,NZ
19,2017-05-14,Mohammad Nasir Hossain,BAN
20,2017-05-14,Mitchell Starc,AUS
1,2017-05-15,Shakib Al Hasan,BAN
2,2017-05-15,Mohammad Hafeez,PAK
3,2017-05-15,Mohammad Nabi,AFG
4,2017-05-15,James Faulkner,AUS
5,2017-05-15,Angelo Mathews,SL
6,2017-05-15,Mitchell Marsh,AUS
7,2017-05-15,Jason Holder,WI
8,2017-05-15,Ben Stokes,ENG
9,2017-05-15,Chris Woakes,ENG
10,2017-05-15,Ravindra Jadeja,IND
11,2017-05-15,Kevin O'Brien,IRE
12,2017-05-15,Mitchell Santner,NZ
13,2017-05-15,Moeen Ali,ENG
14,2017-05-15,Paul Stirling,IRE
15,2017-05-15,Glenn Maxwell,AUS
16,2017-05-15,Sean Williams,ZIM
17,2017-05-15,Imad Wasim,PAK
18,2017-05-15,Kane Williamson,NZ
19,2017-05-15,Mohammad Nasir Hossain,BAN
20,2017-05-15,Mitchell Starc,AUS
1,2017-05-16,Shakib Al Hasan,BAN
2,2017-05-16,Mohammad Hafeez,PAK
3,2017-05-16,Mohammad Nabi,AFG
4,2017-05-16,James Faulkner,AUS
5,2017-05-16,Angelo Mathews,SL
6,2017-05-16,Mitchell Marsh,AUS
7,2017-05-16,Jason Holder,WI
8,2017-05-16,Ben Stokes,ENG
9,2017-05-16,Chris Woakes,ENG
10,2017-05-16,Ravindra Jadeja,IND
11,2017-05-16,Kevin O'Brien,IRE
12,2017-05-16,Mitchell Santner,NZ
13,2017-05-16,Moeen Ali,ENG
14,2017-05-16,Paul Stirling,IRE
15,2017-05-16,Glenn Maxwell,AUS
16,2017-05-16,Sean Williams,ZIM
17,2017-05-16,Imad Wasim,PAK
18,2017-05-16,Kane Williamson,NZ
19,2017-05-16,Mohammad Nasir Hossain,BAN
20,2017-05-16,Mitchell Starc,AUS
1,2017-05-17,Shakib Al Hasan,BAN
2,2017-05-17,Mohammad Hafeez,PAK
3,2017-05-17,Mohammad Nabi,AFG
4,2017-05-17,James Faulkner,AUS
5,2017-05-17,Angelo Mathews,SL
6,2017-05-17,Mitchell Marsh,AUS
7,2017-05-17,Jason Holder,WI
8,2017-05-17,Ben Stokes,ENG
9,2017-05-17,Chris Woakes,ENG
10,2017-05-17,Ravindra Jadeja,IND
11,2017-05-17,Mitchell Santner,NZ
12,2017-05-17,Kevin O'Brien,IRE
13,2017-05-17,Moeen Ali,ENG
14,2017-05-17,Paul Stirling,IRE
15,2017-05-17,Glenn Maxwell,AUS
16,2017-05-17,Sean Williams,ZIM
17,2017-05-17,Imad Wasim,PAK
18,2017-05-17,Mitchell Starc,AUS
19,2017-05-17,Kane Williamson,NZ
20,2017-05-17,Adil Rashid,ENG
1,2017-05-18,Shakib Al Hasan,BAN
2,2017-05-18,Mohammad Hafeez,PAK
3,2017-05-18,Mohammad Nabi,AFG
4,2017-05-18,James Faulkner,AUS
5,2017-05-18,Angelo Mathews,SL
6,2017-05-18,Mitchell Marsh,AUS
7,2017-05-18,Jason Holder,WI
8,2017-05-18,Ben Stokes,ENG
9,2017-05-18,Chris Woakes,ENG
10,2017-05-18,Ravindra Jadeja,IND
11,2017-05-18,Mitchell Santner,NZ
12,2017-05-18,Kevin O'Brien,IRE
13,2017-05-18,Moeen Ali,ENG
14,2017-05-18,Paul Stirling,IRE
