Rank,date,fullName,nationality
7,2016-01-07,Ravindra Jadeja,IND
8,2016-01-07,Moeen Ali,ENG
9,2016-01-07,Paul Stirling,IRE
10,2016-01-07,Andre Russell,WI
11,2016-01-07,JP Duminy,SA
12,2016-01-07,Mohammad Nasir Hossain,BAN
13,2016-01-07,Marlon Samuels,WI
14,2016-01-07,Kevin O'Brien,IRE
15,2016-01-07,Suresh Raina,IND
16,2016-01-07,Mahmudullah,BAN
17,2016-01-07,Mitchell Starc,AUS
18,2016-01-07,Sean Williams,ZIM
19,2016-01-07,Ravichandran Ashwin,IND
20,2016-01-07,Corey Anderson,NZ
1,2016-01-08,Shakib Al Hasan,BAN
2,2016-01-08,Tillekeratne Dilshan,SL
3,2016-01-08,Glenn Maxwell,AUS
4,2016-01-08,James Faulkner,AUS
5,2016-01-08,Angelo Mathews,SL
6,2016-01-08,Mohammad Nabi,AFG
7,2016-01-08,Ravindra Jadeja,IND
8,2016-01-08,Moeen Ali,ENG
9,2016-01-08,Paul Stirling,IRE
10,2016-01-08,Andre Russell,WI
11,2016-01-08,JP Duminy,SA
12,2016-01-08,Mohammad Nasir Hossain,BAN
13,2016-01-08,Marlon Samuels,WI
14,2016-01-08,Kevin O'Brien,IRE
15,2016-01-08,Suresh Raina,IND
16,2016-01-08,Mahmudullah,BAN
17,2016-01-08,Mitchell Starc,AUS
18,2016-01-08,Sean Williams,ZIM
19,2016-01-08,Ravichandran Ashwin,IND
20,2016-01-08,Corey Anderson,NZ
1,2016-01-09,Shakib Al Hasan,BAN
2,2016-01-09,Tillekeratne Dilshan,SL
3,2016-01-09,Glenn Maxwell,AUS
4,2016-01-09,James Faulkner,AUS
5,2016-01-09,Angelo Mathews,SL
6,2016-01-09,Mohammad Nabi,AFG
7,2016-01-09,Ravindra Jadeja,IND
8,2016-01-09,Moeen Ali,ENG
9,2016-01-09,Paul Stirling,IRE
10,2016-01-09,Andre Russell,WI
11,2016-01-09,JP Duminy,SA
12,2016-01-09,Mohammad Nasir Hossain,BAN
13,2016-01-09,Marlon Samuels,WI
14,2016-01-09,Kevin O'Brien,IRE
15,2016-01-09,Suresh Raina,IND
16,2016-01-09,Mahmudullah,BAN
17,2016-01-09,Mitchell Starc,AUS
18,2016-01-09,Sean Williams,ZIM
19,2016-01-09,Ravichandran Ashwin,IND
20,2016-01-09,Corey Anderson,NZ
1,2016-01-10,Shakib Al Hasan,BAN
2,2016-01-10,Tillekeratne Dilshan,SL
3,2016-01-10,Glenn Maxwell,AUS
4,2016-01-10,James Faulkner,AUS
5,2016-01-10,Angelo Mathews,SL
6,2016-01-10,Mohammad Nabi,AFG
7,2016-01-10,Ravindra Jadeja,IND
8,2016-01-10,Moeen Ali,ENG
